#,שאלה,תשובה,מקור
1,מה צריך האדם לעשות בבוקר?,יתגבר כארי לעמוד לעבודת בוראו,"סימן 1, סעיף 1"
2,בשחרית האם מותר לאחר את זמן התפילה?,לא,"סימן 1, סעיף 1"
3,מה יעשה אדם שמתגברים עליו יצרו ומחשבותיו?,יזכור שהמלך הגדול עומד עליו,"סימן 1, סעיף 1"
4,כמה משמרות יש בלילה?,שלוש משמרות,"סימן 1, סעיף 2"
5,מה ראוי לכל ירא שמים?,לדאוג על חורבן בית המקדש,"סימן 1, סעיף 3"
6,"מה עדיף, מעט תחנונים בכוונה או הרבה בלא כוונה?",מעט תחנונים בכוונה,"סימן 1, סעיף 4"
7,האם מותר לומר עשרת הדברות בציבור?,רק ביחיד,"סימן 1, סעיף 5"
8,מתי יש לומר פרשיות הקרבנות?,רק ביום,"סימן 1, סעיף 6"
9,כיצד ילבש את חלוקו?,שוכב ומכניס ראשו וזרועותיו,"סימן 2, סעיף 1"
10,מי רואה את האדם בחדרי חדרים?,הקדוש ברוך הוא,"סימן 2, סעיף 2"
11,כיצד סדר נעילת וקשירת המנעלים?,"ימין, שמאל-קושר, ימין-קושר","סימן 2, סעיף 4"
12,מה סדר נעילה וקשירה במנעלים ללא קשירה?,ינעול של ימין תחילה,"סימן 2, סעיף 4"
13,איזו רגל חולץ תחילה?,של שמאל תחילה,"סימן 2, סעיף 5"
14,האם מותר ללכת בקומה זקופה?,אסור,"סימן 2, סעיף 6"
15,"האם אומרים היום ""התכבדו מכובדים""?",עכשיו לא נהגו לאומרו,"סימן 3, סעיף 1"
16,כמה פעמים יש לערות מים על הידיים שחרית?,שלוש פעמים,"סימן 4, סעיף 2"
17,במה לא יגע קודם נטילה?,"פה, חוטם, אזניים, עינים","סימן 4, סעיף 3"
18,האם צריך רביעית לנטילת ידים שחרית?,אין צריך,"סימן 4, סעיף 6"
19,האם מותר ליטול ידיים שחרית על גבי קרקע?,"לא, רק לתוך כלי","סימן 4, סעיף 8"
20,מה דין מים של נטילת ידים שחרית?,אסור ליהנות מהם,"סימן 4, סעיף 9"
21,באיזו יד נוטל את כלי המים?,ימין,"סימן 4, סעיף 10"
22,האם מותר ליטול ממי שלא נטל ידיו?,אסור,"סימן 4, סעיף 11"
23,מה הדין אם שכשך ידיו בכלי מים?,"לתפילה כן, לרוח-רעה לא","סימן 4, סעיף 12"
24,מה דין הנעור כל הלילה לנטילת ידים?,יטול בלא ברכה,"סימן 4, סעיף 13"
25,"נטילת ידיים קודם עמוד השחר, האם מועילה?",יטול בלא ברכה כששיאור היום,"סימן 4, סעיף 14"
26,מה דין ישן ביום לגבי נטילת ידים?,יטול בלא ברכה,"סימן 4, סעיף 15"
27,מה דין הנוגע ברגליו או חופף ראשו?,צריך נטילת ידיים,"סימן 4, סעיף 18"
28,מה דין הנוטל ציפורניו ולא נטל ידיו?,מפחד יום אחד,"סימן 4, סעיף 19"
29,מה דין המגלח ולא נטל ידיו?,מפחד שלושה ימים,"סימן 4, סעיף 19"
30,מה הרפואה לפנים מתבקעות?,לרחוץ הרבה במי סילקא,"סימן 4, סעיף 20"
